titre,cineaste,casting,date_sortie,duree_minutes,nationalites,synopsis,status,categories,thematiques,affiche_image,dossier_presse,affiche_photos,bande_annonce_fichier,bande_annonce_url,slug
SUZANNA ANDLER,Benoît Jacquot,"Charlotte Gainsbourg, Niels Schneider",,,,,catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2020/01/SA-mea.jpg,,,,,suzanna-andler.html
LOLA VERS LA MER,Laurent Micheli,"Benoit, Mya",,,,"Benoit MAGIMEL, Mya BOLLAERS",catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/08/lolaverslamer-affiche.jpg,,,,,lola-vers-la-mer.html
L’AUDITION,Ina Weisse,"Nina, Simon, Jens, Serafin, Ilja",,,,"Nina HOSS, Simon ABKARIAN, Jens ALBINUS, Serafin MISHIEV, Ilja MONTI",catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/08/LAudition-vf1.jpg,,,,,laudition.html
HAUT LES FILLES,François Armanet,"Jeanne Added, Jehnny Beth, Lou Doillon, Brigitte Fontaine, Charlotte Gainsbourg, Françoise Hardy, Imany, Camélia Jordana, Elli Medeiros, Vanessa Paradis",,,,,catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/05/HAUT-LES-FILLES-affiche-France-e1571824212576.jpg,,,,,haut-les-filles.html
VIF-ARGENT,Stéphane Batut,"Thimothée Robart, Judith Chemla, Djolof Mbengue, Saadia Bentaïeb",,,,,catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/08/Vif-argent-visu.jpg,,,,,vif-argent.html
LES PARTICULES,Blaise Harrison,"Thomas, Salvatore, Léo, Nicolas, Néa, Emma",,,,"Thomas DALOZ,
Salvatore FERRO,
Léo COUILFORT,
Nicolas MARCANT,
Néa LÜDERS,
Emma JOSSERAND",catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/01/visuel-Les-particules-758x1030.jpg,,,,,les-particules.html
HELLHOLE,Bas Devos,"Alba, Willy, Hamza, Lubna",,,,"Alba ROHRWACHER, Willy THOMAS, Hamza BELARBI, Lubna AZABAL",catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2019/02/poster-0-hellhole1.jpg,,,,,hellhole.html
MES PROVINCIALES,Jean Paul Civeyrac,"Andranic Manet, Corentin Fila, Gonzague Van Bervesselès, Diane Rouxel, Jenna Thiam, Sophie Verbeeck, Charlotte Van Bervesselès",,,,,catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2018/02/poster-0-mes-provinciales.jpg,,,,,mes-provinciales.html
Ouvrir la voix,Amandine Gay,"Aiss Berg, Amelia Ewu, Eleonore, Fania Noel, Fanny Aka Thisiskiyemis, Laura Aka Mrsroots, Maboula Soumahoro, Many Chroniques, Marie Leda, Marie Julie Chalu, Merci Michel, Nass, Ndella Paye, Ornella Aka Loulou, Po, Rachel Khan, Rebecca Chaillon, Sabine Pakora, Sandra, Sandra Sainte Rose Fanchine, Sharone, Taina, Thara, Zina",,,,"Aiss Berg, Amelia Ewu, Eleonore, Fania Noel, Fanny Aka Thisiskiyemis, Laura Aka Mrsroots, Maboula Soumahoro, Many Chroniques, Marie Leda, Marie Julie Chalu, Merci Michel, Nass, Ndella Paye, Ornella Aka Loulou, Po B.K Lomani, Rachel Khan, Rebecca Chaillon, Sabine Pakora, Sandra, Sandra Sainte Rose Fanchine, Sharone, Taina, Thara, Zina",catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2022/03/mea-WB.jpg,,,,,ouvrir-la-voix.html
MAKALA,Emmanuel Gras,"Kabwita Kasongo, Lydie Kasongo",,,,,catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2017/12/poster-0-makala.jpg,,,,,makala.html
DJAM,Tony GATLIF,"Daphné, Maryne, Simon",,,,"Daphné PATAKIA, Maryne CAYON, Simon ABKARIAN",catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2017/05/poster-0-djam.jpg,,,,,djam.html
"A mon âge, je me cache encore pour fumer",Rayhana Play,,,,,"HIAM ABBASS, FADILA BELKEBLA, NADIA KACI, NASSIMA BENCHICOU, SARAH LAYSSAC, MAYMOUNA, LINA SOUALEM, 
FAROUDJA AMAZIT et avec la participation de BIYOUNA dans le rôle de Aïcha",catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2017/04/poster-0-a-mon-age-je-me-cache-encore-pour-fumer.jpg,,,,,a-mon-age-je-me-cache-encore-pour-fumer.html
L’OPÉRA,Stéphane Bron Play,,,,,,catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2017/04/poster-0-lopera.jpg,,,,,lopera.html
DIAMOND ISLAND,Davy Chou,,,,,"NUON Sobon
NOV Cheanick
CHHEM Madeza
KORN Mean
NUT Samnang
MENG Sophyna
MIN Jany 
KHIM Samnang
OUN Batham 
HANG Sreyleap
DOM Sreyroth",catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2016/12/poster-0-diamond-island.jpg,,,,,diamond-island.html
OLLI MÄKI,Juho Kuosmanen,"Jarkko Lahti, Oona Airola, Eero Milonoff",,,,"Jarkko Lahti (Olli), Oona Airola (Raija), Eero Milonoff (Elis Ask)",catalogue,ventes internationales,,https://filmsdulosange.com/wp-content/uploads/sites/2/2016/10/poster-0-olli-maki.jpg,,,,,olli-mki.html
